Gene,Mutation_Remark,System/Pathway_info,Drug_Name_and_Combination,Phases,Primary Phenotype Measures,Primary/Secondary_Hypertension,Drug_Class,Source
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: current marketed FLOLAN (epoprostenol sodium)|DRUG: new thermo stable formulation of epoprostenol sodium,PHASE4,"Change From Baseline in Medical Outcomes Study Short Form 36 (SF-36), Subject-rated measure of health status comprised of 36 items: 8 subscale scores (physical functioning, role limitations due to physical health problems, bodily pain, general health, vitality, social functioning, role limitations due to emotional problems, and mental health), 2 summary scores (physical component and mental component), and a self-evaluated change in health status. Subscale and summary scores range: 0-100. Higher subscale and summary scores was considered as better health status. Change from Baseline was calculated as score at observation minus score at baseline. Baseline was defined as Visit 2 i.e. Day-14 (+ or - 7 days)., Baseline (Visit 2 i.e. Day-14 [+ or - 7 days]) and Week 4 (Visit 3)|Change From Baseline in Study Specific Participant Acceptance Survey, Study-specific questionnaire comprised the pre-defined15 questions which included activities of daily living assessment. Participants rated the question on a scale of 1 to 10, where 1 was do not agree and 10 was strongly agree. Change from Baseline was calculated as score at observation minus score at Baseline. Changes from Baseline was assessed for Questions 2 to 12. Baseline was defined as Visit 2 i.e. Day-14 (+ or - 7 days)., Baseline (Visit 2 i.e. Day-14 [+ or - 7 days]) and Week 4 (Visit 3).|Change From Baseline in Dose of Thermo Stable Epoprostenol Sodium at Week 4, Dose titration requirement was assessed at the time of discharge. Change from Baseline was calculated as score at observation minus score at Baseline. Units- nanogram per kilogram per minute (ng/kg/min). Baseline was Visit 2 i.e . Day-14 (+ or - 7 days)., Baseline (Visit 2 i.e. Day-14 [+ or - 7 days]) and Week 4","Hypertension, Pulmonary","Antihypertensive, Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT01462565
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Macitentan,PHASE1,"Trough Concentration of Macitentan and its Active Metabolite Aprocitentan at Week 4 in Steady-State, Trough concentration of macitentan and its active metabolite aprocitentan at week 4 in steady-state will be reported., Predose (at Week 4)","Arterial Hypertension, Pulmonary","Antihypertensive, Endothelin receptor antagonist",NCT05731492
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Inhaled dry powder treprostinil (LIQ861),PHASE2,"Change in Pulmonary Vascular Resistance (PVR), Calculated in Wood units, 2 hours (120 minutes) post-dose on Day 1 and Week 16|Change in Pulmonary Artery Pressure (PAP), Systolic, diastolic, and mean pressure measured in millimeters of mercury (mmHG), 2 hours (120 minutes) post-dose on Day 1 and Week 16|Change in Cardiac Output (CO), Measured in liters per minute (L/min), 2 hours (120 minutes) post-dose on Day 1 and Week 16|Change in Pulmonary Artery Oxygen Saturation (PAO2%), Measured as a percent oxyhemoglobin saturation, 2 hours (120 minutes) post-dose on Day 1 and Week 16",Pulmonary Arterial Hypertension,"Anticoagulant, Vasodilator, Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT03884465
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Riociguat,PHASE4,"Change in RV (right ventricular) area, echocardiographic analysis right atrial (RA) area, measured by echocardiography., Baseline to 24 weeks|Change in RA (right atrial) area, echocardiographic analysis, Baseline to 24 weeks",Primary Pulmonary Arterial Hypertension|Chronic Thromboembolic Pulmonary Hypertension,"Vasodilator, Guanylate cyclase activator",NCT04954742
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Simvastatin|DRUG: Aspirin|,PHASE2,"Distance Walked in Six Minutes, Measured at 6 months","Hypertension, Pulmonary","Antihyperlipidemic, HMG-CoA reductase inhibitor",NCT00384865
ATP13A3,autosomal recessive,TGF-beta signaling pathway,"OTHER: Maximum Exercise Tests|DRUG: BH4, L-NMMA, Vitamin C, Vitamin E, ╬▒-Lipoic Acid and L-Ascorbate|DRUG: BQ-123|DRUG: Fexofenadine, Ranitidine|OTHER: Angiotensin-II, Valsartan|DRUG: Acetylcholine, Sodium Nitroprusside, Angiotensin-II, Norepinephrine, Phentolamine|DRUG: BQ-123, MitoQ, BH4",PHASE1,"Change in Limb Blood Flow, Change in local limb blood flow as measured by ultrasound Doppler in units of milliliters per minute (mL/min) from baseline to up to 1 hour following study interventions, Baseline and 1 hour",Chronic Obstructive Pulmonary Disease|Pulmonary Artery Hypertension|Heart Failure|Hypertension,Antihypertensive,NCT02966665
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Treprostinil Injectable Product|DRUG: Riociguat Pill,PHASE3,"Change in stroke volume/end systolic volume (SV/ESV), Change in stroke volume/end systolic volume (SV/ESV), Baseline to 3 months","Pulmonary Arterial Hypertension, Primary","Anticoagulant, Vasodilator, Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT04062565
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: AER-901 Solution for Nebulization,PHASE1,"Number of Participants with Treatment Emergent Adverse Events (TEAEs), TEAEs will be summarized by treatment group using frequency and percent for each system organ class and preferred term within each system, organ and class (SOC), From randomization though study completion (up to 17 days following last treatment)|Number of Participants with Serious Adverse Events (SAEs), SAEs will be summarized by treatment group using frequency and percent for each system organ class and preferred term within each system, organ and class (SOC), From randomization though study completion (up to 17 days following last treatment)","Pulmonary Arterial Hypertension, Primary","Antineoplastic, Tyrosine kinase inhibitor",NCT04903730
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: MK-5475| to MK-5475,PHASE2|PHASE3,"Phase 2 Cohort: Change from Baseline in Pulmonary Vascular Resistance (PVR) at 12 Weeks, PVR is assessed by right heart catheterization (RHC)., At baseline and 12 weeks|Phase 3 Cohort: Change from Baseline in 6-Minute Walk Distance (6MWD) at 12 Weeks, 6MWD is assessed using the 6-minute walk test (6MWT)., At baseline and 12 weeks","Pulmonary Arterial Hypertension|Hypertension, Pulmonary",inhaled soluble guanylate cyclase (sGC) ,NCT04732221
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: CS1 Administration,PHASE2,"Patient reported adverse events, Safety and tolerability of 3 doses of CS1, 6 months","Pulmonary Arterial Hypertension, Primary",NaN,NCT05224531
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: ambrisentan,PHASE3,"Change From Baseline in 6-minutes Walk Test (6MWT) at Week 12, The 6MWT measures the distance that a participant can walk in a period of 6 minutes. Change from Baseline was calculated as the Week 12 value minus the Baseline value. Baseline 6MWT comprised of an average of the last two consecutive measurements prior to dosing that varied by not greater than 10 percent (%). If only one measurement was available, that measurement was used as the Baseline value. The last observation carried forward method was used to impute missing values., Baseline and Week 12",Vascular Disease,"Antihypertensive, Endothelin receptor type A antagonist",NCT01808313
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: ambrisentan,PHASE2,"Number of Participants With Pulmonary Arterial Hypertension (PAH) Who Completed the Phase II NCT00046319 Study and Who Experienced Severe Adverse Events (AEs) During Long-term Ambrisentan Exposure, The number of participants in the AMB-220-E analysis set who experienced AEs (including serious AEs) of severe severity (ie, made it impossible to perform routine activities and the subject may have experienced intolerable discomfort or pain) that began after entering AMB-220-E (treatment-emergent AEs) and that occurred in more than 1 participant are summarized by dose group. The AMB-220-E analysis set consisted of all participants who received at least 1 dose of study drug during the AMB-220-E study., Week 24 (AMB-220-E baseline) to Week 334|Number of Participants With PAH Who Completed the Phase II NCT00046319 Study and Who Experienced AEs of Moderate Severity During Long-term Ambrisentan Exposure, The number of participants in the AMB-220-E analysis set who experienced AEs (including serious AEs) of moderate severity (ie, interfered with routine activities and subject may have experienced significant discomfort) that began after entering AMB-220-E (treatment-emergent AEs) and that occurred in more than 1 participant are summarized by dose group. The AMB-220-E analysis set consisted of all participants who received at least 1 dose of study drug during the AMB-220-E study., Week 24 (AMB-220-E baseline) to Week 329.3|Number of Participants With PAH Who Completed the Phase II NCT00046319 Study and Who Experienced AEs of Mild Severity During Long-term Ambrisentan Exposure, The number of participants in the AMB-220-E analysis set who experienced AEs (including serious AEs) of mild severity (ie, did not interfere with routine activities and the subject may have experienced slight discomfort) that began after entering AMB-220-E (treatment-emergent AEs) and that occurred in more than 1 participant are summarized by dose group. The AMB-220-E analysis set consisted of all participants who received at least 1 dose of study drug during the AMB-220-E study., Week 24 (AMB-220-E baseline) to Week 329.3",Pulmonary Hypertension,"Antihypertensive, Endothelin receptor type A antagonist",NCT00424021
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: udenafil,PHASE2,"Phase IIa - Pulmonary vascular resistance index(PVRI), 4 hours|Phase IIb - 6-minute walk distance, 16weeks","Pulmonary Arterial Hypertension, Primary","Impotence therapy, Phosphodiesterase V inhibitor",NCT01553721
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: sapropterin dihydrochloride (6R-BH4),PHASE1,"To evaluate the safety of oral 6R-BH4, administered in escalating doses in addition to standard care, in subjects with pulmonary arterial hypertension (PAH)., Up to 14 weeks","Pulmonary Arterial Hypertension, Primary","Antihyperphenylalaninemia, Cofactor replacement (tetrahydrobiopterin)",NCT00435331
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Macitentan|DRUG: Tadalafil|DRUG: Selexipag,PHASE3,"Change From Baseline to Week 26 in Pulmonary Vascular Resistance (PVR), Change from baseline to Week 26 in PVR was expressed as the ratio of Week 26 to baseline PVR value (Week 26 divided by baseline) using re-calculated PVR. PVR was determined by right heart catheterization (RHC). A geometric least square mean ratio of Week 26 to baseline PVR less than (\<) 1 corresponds to a reduction in PVR from baseline. Missing values were imputed using a last observation carried forward (LOCF) approach., Baseline, Week 26","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Endothelin receptor antagonist",NCT02558231
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Macitentan|OTHER: Standard-of-care,PHASE3,"Participants Greater than or Equal to (>=) 2 Years: Observed Steady-state Trough Plasma Concentration of Macitentan and its Active Metabolite ACT-132577 at Week 12, Observed steady-state trough plasma concentration of macitentan and its active metabolite ACT-132577 will be reported., Week 12|Participants Less than (<) 2 Years: Observed Steady-state Trough Plasma Concentration of Macitentan and its Active Metabolite ACT-132577 at Week 4, Observed steady-state trough plasma concentration of macitentan and its active metabolite ACT-132577 will be reported., Week 4","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Endothelin receptor antagonist",NCT02932410
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Parenteral Treprostinil|DRUG: Oral Treprostinil,PHASE4,"Change From Baseline in Right Ventricular Ejection Fraction (RVEF), as Measured by Cardiac Magnetic Resonance Imaging (cMRI) at Month 12, Baseline, Month 12","Pulmonary Arterial Hypertension, Primary","Anticoagulant, Vasodilator, Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT05203510
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Macitentan,PHASE3,"Development and Refinement of the Patient-reported Outcome Measure of Symptoms and Their Impact in PAH (the PAH-SYMPACT), Content validity of the PAH-SYMPACT was assessed using item performance, exploratory and confirmatory factor analysis. The final item content and domain structure of PAH-SYMPACT was determined based on these analyses from the Steering Committee (expert clinicians) and findings from the qualitative research done with patients previously., From Screening Visit (Day -14) to End of Treatment (EOT) Visit (Visit 4, Week 16)|Validation of the Patient-reported Outcome Measure of Symptoms and Their Impact in PAH (the PAH-SYMPACT), With Reliability Assessed Via Test-retest Reliability., The reliability of the PAH-SYMPACT is assessed by test-retest reliability. Intra-class correlation coefficients (ICCs) assess test-retest reliability for the symptom and impact part scores as well as domains. ICCs equal to or greater than 0.70 are considered to demonstrate good test-retest reliability for total and domain scores., From ePRO period 1 (Days -14 to -8) to ePRO period 2 (Days -7 to -1) in screening period.|Validation of the Patient-reported Outcome Measure of Symptoms and Their Impact in PAH (the PAH-SYMPACT), Assessing Internal Consistency Reliability., The reliability of the PAH-SYMPACT is assessed by internal consistency reliability. This was determined using Cronbach's alpha-a value on an internal level scale from 0 to 1.0 with higher scores indicating a more-reliable (precise) instrument., From ePRO period 1 (Days -14 to -8) to ePRO period 2 (Days -7 to -1) in screening period.","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Endothelin receptor antagonist",NCT01841762
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Prostacyclin Receptor Agonist,PHASE1,"Number of Participants with Treatment-emergent Adverse Events (TEAEs), An adverse event is any untoward medical event that occurs in a participant administered an investigational product, and it does not necessarily indicate only events with clear causal relationship with the relevant investigational product. TEAEs are defined as AEs with onset or worsening on or after date of first dose of study treatment., Up to 114 days|Number of Participants With Serious TEAEs, A SAE is an AE resulting in any of the following outcomes or deemed significant for any other reason: death; initial or prolonged inpatient hospitalization; life-threatening experience (immediate risk of dying); persistent or significant disability/incapacity; congenital anomaly. Serious TEAEs are defined as serious events between administration of study drug and after the last dose that were absent before treatment or that worsen relative to pretreatment state., Up to 114 days|Number of Participants with TEAEs by Severity, Number of participants with TEAEs by severity will be evaluated. An assessment of severity grade will be made using the following general categorical descriptors, such as Mild (Awareness of symptoms that are easily tolerated, causing minimal discomfort, and not interfering with everyday activities), Moderate (Sufficient discomfort is present to cause interference with normal activity), and Severe (Extreme distress, causing significant impairment of functioning or incapacitation, and prevents normal everyday activities)., Up to 114 days|Number of Participants with TEAEs Leading to Discontinuation, Number of participants with TEAEs leading to discontinuation will be reported., Up to 114 days|Number of Participants With Change from Baseline in Clinical Laboratory Values, Number of participants with change from baseline in clinical laboratory values (chemistry, hematology, and urinalysis) will be evaluated., Up to 114 days|Number of Participants With Injection Site Reactions, Number of participants with injection site reactions will be evaluated., Up to 114 days","Pulmonary Arterial Hypertension, Primary",NaN,NCT05427162
ATP13A3,autosomal recessive,TGF-beta signaling pathway,BIOLOGICAL: Sotatercept||DRUG: Background PAH Therapy,PHASE3,"Change From Baseline in 6-Minute Walk Distance (6MWD) at Week 24, The 6MWD is the distance walked in 6 minutes as a measure of functional capacity. This will be assessed using the 6-minute walk test (6MWT). The change from baseline in 6MWD at Week 24 will be reported., Baseline and Week 24|Number of Participants Who Experience an Adverse Event (AE), An AE is any untoward medical occurrence in a study participant administered a study drug, which does not necessarily have a causal relationship with this treatment. An AE can therefore be any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, or disease temporally associated with the use of the study drug whether or not it is considered related to the study drug. The number of participants who experience an AE will be reported., Up to approximately 19 months|Number of Participants Who Discontinue Study Treatment Due to an AE, An AE is any untoward medical occurrence in a study participant administered a study drug, which does not necessarily have a causal relationship with this treatment. An AE can therefore be any unfavorable and unintended sign (including an abnormal laboratory finding), symptom, or disease temporally associated with the use of the study drug whether or not it is considered related to the study drug. The number of participants who discontinue study treatment due to an AE will be reported., Up to approximately 19 months","Pulmonary Arterial Hypertension, Primary","Anti-anemic, Bone anabolic",NCT04576988
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Intravenous/Subcutaneous Treprostinil; Oral Treprostinil,PHASE4,"Oral treprostinil dose, The percentage of subjects achieving an oral treprostinil dose of 4 mg three times daily (TID) (or a total daily dose of 12 mg) or higher at Week 16 (or a dose of 0.057 mg/kg TID \[total daily dose of 0.171 mg/kg\] or greater for subjects \<70 kg) will be calculated and summarized, Assessed at Week 16","Pulmonary Arterial Hypertension, Primary","Anticoagulant, Vasodilator, Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT03497689
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Ralinepag,PHASE3,"Time from randomization to the first adjudicated protocol-defined clinical worsening event, Clinical worsening events are defined as death, nonelective hospital admission for worsening PAH (further defined in clinical study protocol), initiation of parenteral or inhaled prostacyclin pathway agent for treatment of worsening PAH, disease progression (further defined in clinical study protocol), or unsatisfactory long-term clinical response (further defined in clinical study protocol)., The study duration was event-based. This parameter was assessed from randomization until the conclusion of the study, up to 3 years","PAH|Pulmonary Hypertension|Pulmonary Arterial Hypertension|Hypertension|Connective Tissue Diseases|Familial Primary Pulmonary Hypertension|Vascular Diseases|Cardiovascular Diseases|Hypertension, Pulmonary|Lung Diseases|Respiratory Tract Disease","Antihypertensive, Prostaglandin I2 receptor agonist",NCT03626688
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Tadalafil|DRUG: Vardenafil,PHASE4,"Six minute walking distance, 12 weeks|Level of pro-NT BNP, 12 weeks","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Impotence therapy, Phosphodiesterase V inhibitor",NCT00705588
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Sildenafil citrate,PHASE3,"Categorized Change From Baseline in 6-Minute Walking Distance, Number of subjects with categorized change in 6-minute walking distance. Distance that a subject could walk in 6-minutes at a comfortable pace with as many breaks as needed. Performed as close to trough levels of sildenafil as possible (just before dosing; at least 4 hours after the previous dose of study drug). Scores for categorized changes for missing visits were imputed as the worse score of its non-missing neighbors. If a visit was missing and there was no subsequent score, the score was coded to missing., 1 Year, 2 Year, 3 Year",Pulmonary Hypertension,"Vasodilator, Erectile dysfunction, Phosphodiesterase V inhibitor",NCT00159861
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: treprostinil|DEVICE: Crono Five ambulatory pump,PHASE4,"Change From Baseline at Week 8 in 6-Minute Walk Distance (6MWD), The administration of the 6MWD test and specifications of the testing area were consistent with the American Thoracic Society guidelines and the usual practice of the investigative site \[American Thoracic Society (ATS) guidelines; 2002\]., Week 8",Pulmonary Arterial Hypertension,"Anticoagulant, Vasodilator, Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT00439946
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Hyperpolarized 129Xe,PHASE2,"a pathology-based 129Xe MRI noninvasive signature of pulmonary vascular remodeling that could be validated in a larger cohort of Group 3 PH patients, Such a signature could then be tested in clinical trials in Group 3 PH. These studies will have an important positive impact because they lay the foundation for a precision medicine strategy in Group 3 PH through the identification of potential responders and non-responders to PAH-specific therapies, 2 yrs",Interstitial Lung Disease|COPD|Pulmonary Arterial Hypertension,NaN,NCT04778046
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: ambrisentan|DRUG: tadalafil,PHASE3,"Number of Participants With First Adjudicated Clinical Failure (CF) Event, Death, Hospitalisation for Worsening PAH, Disease Progression, Unsatisfactory Long-term Clinical Response, All Through FAV, Time to the first adjudicated CF event (death, hospitalization for worsening pulmonary arterial hypertension \[PAH\], disease progression, or unsatisfactory long-term clinical response) after initiating either first-line combination therapy with AMB and TAD or first-line monotherapy with either drug (AMB or TAD) in par. with PAH was assessed. If data was not available for some par. following a loss to follow-up, their event times were treated as censored at their last assessment time for the statistical analyses. FAV occurred approximately 4 weeks after the predicted 105th adjudicated first CF event was reached. Par. who had an FAV, and who had no adjudicated events or whose first adjudicated event occurred after their FAV, were censored at their individual FAV. Modified Intent-to-Treat (mITT) Population: all randomized par. who met the PAH diagnosis and inclusion/exclusion criteria defined in protocol amendment 2 and who also received at least one dose of investigational product (IP)., From Baseline up to the Final Assessment Visit (FAV) (average of 609 days)","Hypertension, Pulmonary","Antihypertensive, Endothelin receptor type A antagonist",NCT01178073
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Sitaxsentan|DRUG: Sitaxsentan and Sildenafil,PHASE3,"Overall Survival, Overall survival is the duration from first dose to death. For participants who are lost to follow-up, survival was censored at the last date of follow-up., Baseline and every 12 weeks up to Week 18",Pulmonary Arterial Hypertension|Pulmonary Hypertension,"Antihypertensive, Endothelin receptor type A antagonist",NCT00796510
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Ranolazine,PHASE3,"Improve Angina Symptoms, Assessed as average improvement in WHO Functional Class. The WHO Functional Class score ranges from 1 to 4, with higher scores indicating more impairment, 3 months|6-Minute Walk Test, Improve Exercise Capacity measured by 6-Minute Walk Test, 3 Months|Improve Quality of Life, The Kansas City Cardiomyopathy Questionnaire is a 23-item, self-administered instrument that quantifies physical function, symptoms (frequency, severity and recent change), social function, self-efficacy and knowledge, and quality of life. The scores are averaged and transformed to a range of 0-100, in which higher scores reflect better health status and was performed at the conclusion of the study., 3 Months",Angina|Pulmonary Arterial Hypertension,Vasodilator,NCT01174173
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Treprostinil Inhalation Powder,PHASE1,"Incidence and severity of treatment-related adverse events (safety and tolerability) of single ascending doses of Treprostinil Inhalation Powder, Incidence and severity of treatment-related adverse events determined by changes from screening (baseline) of findings from physical examinations, laboratory evaluations, vital signs measurements, pulmonary testing, and ECG measurements., At protocol-specified time points from the time of screening (day 0) to end of study (day 6)",Pulmonary Arterial Hypertension,"Anticoagulant, Vasodilator, Platelet aggregation inhibitor, Prostaglandin I2 receptor agonist",NCT03464864
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: Bosentan administration,PHASE4,maximal exercise tolerance (walking distance in the 6-minute walking test)|peripheral oxygen saturation (SatO2)|pulmonary-systemic ratio of arterial resistance (Rp:Rs),Eisenmenger Syndrome,"Antihypertensive, Endothelin receptor antagonist",NCT00266162
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: JTT-251,PHASE2,"Change in six-minute walk distance (6MWD) compared to baseline, 24 Weeks|Change in World Health Organization (WHO) functional classification compared to baseline, 24 Weeks|Change in pulmonary vascular resistance (PVR) compared to baseline, Assessed by right heart catheterization (RHC), 4, 12, 24 and 28 Weeks",Pulmonary Arterial Hypertension,NaN,NCT03789643
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: ambrisentan,PHASE2,"The Incidence of Confirmed Serum Alanine Aminotransferase (ALT) or Aspartate Aminotransferase (AST) Concentrations > 3 x the Upper Limit of Normal (ULN) Considered to be Related to Ambrisentan and Resulted in Discontinuation of Study Drug., The number of participants in the safety analysis set with confirmed serum ALT or AST concentrations \> 3 x ULN during 12 weeks of ambrisentan therapy that were related to ambrisentan and resulted in discontinuation of study drug. Safety analysis set included all participants who received at least 1 dose of study drug., Week 12",Pulmonary Hypertension,"Antihypertensive, Endothelin receptor type A antagonist",NCT00423592
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DIAGNOSTIC_TEST: 18F-FGLN PET Imaging|DRUG: (18F)FPGLU,EARLY_PHASE1,"SUV or image-based threshold of 18F-FGNnon-diseased controls, Regional \[F-18\] fluoroglutamine (18F-FGN) utilization will be measured as standardized uptake values (SUV) of 18F-FGN in right ventricle wall, left ventricle wall, and perivascular tissue within the lung parenchyma., 90 minutes","Pulmonary Arterial Hypertension, Primary",NaN,NCT05452889
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: UT-15C SR,PHASE2,"Number of Participants That Were Succesfully Transitioned From Parenteral Remodulin to UT-15C., Successful transition was based on the number of participants that completely transitioned to oral treprostinil by the week 4 study visit and clinically maintained on oral treprostinil treatment through Week 24., Up to 24 weeks","Pulmonary Arterial Hypertension, Primary","Antihypertensive, Prostaglandin I2 receptor agonist",NCT01588405
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: ACT-293987,PHASE3,"Number of Participants With Treatment-emergent Adverse Events (TEAEs) up to 3 Days After Study Intervention Discontinuation, An adverse event (AE) is any untoward medical event that occurs in a participant administered an investigational product, and it does not necessarily indicate only events with clear causal relationship with the relevant investigational product. A TEAE is any AE temporally associated with the use of study drug (from study drug initiation until 3 days after study drug discontinuation), whether or not considered related to the study drug., Up to 3 days after study drug discontinuation (Up to 10.5 years)|Number of Participants With Treatment-emergent Serious Adverse Events (SAEs) up to 3 Days After Study Intervention Discontinuation, An adverse event is any untoward medical event that occurs in a participant administered an investigational product, and it does not necessarily indicate only events with clear causal relationship with the relevant investigational product. SAE is any AE that results in: death, persistent or significant disability/incapacity, requires inpatient hospitalization or prolongation of existing hospitalization, is life-threatening experience, is a congenital anomaly/birth defect and may jeopardize participant and/or may require medical or surgical intervention to prevent one of the outcomes listed above. Those SAEs occurring during study drug administration, that is, between study drug initiation and three days after study drug discontinuation, are defined as treatment-emergent SAEs., Up to 3 days after study drug discontinuation (Up to 10.5 years)|Number of Participants With TEAEs Leading to Permanent Discontinuation of Study Intervention, An adverse event (AE) is any untoward medical event that occurs in a participant administered an investigational product, and it does not necessarily indicate only events with clear causal relationship with the relevant investigational product. A TEAE is any AE temporally associated with the use of study drug (from study drug initiation until 3 days after study drug discontinuation), whether or not considered related to the study drug., Up to 10.5 years","Pulmonary Arterial Hypertension, Primary",NaN,NCT01112306
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: MN-08 24 mg/day|DRUG: MN-08 60 mg/day,PHASE1,"Incidence and severity of TEAEs and SAEs, Incidence and severity of treatment emergent adverse events (TEAEs) and Serious Adverse Events (SAEs) after multiple doses of MN-08 administered for 6.5 consecutive days in healthy subjects., Through study completion, an average of 12 days|Incidence and severity of treatment-related adverse events, Incidence and severity of treatment-related adverse events determined by changes from screening (baseline) of findings from vital signs, ECG, and clinical laboratory parameters per the National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version 5., Through study completion, an average of 12 days","Pulmonary Arterial Hypertension, Primary",NaN,NCT05660863
ATP13A3,autosomal recessive,TGF-beta signaling pathway,DRUG: sildenafil|DRUG: sildenafil||DRUG: sildenafil,PHASE3,"Change from baseline in exercise capacity, as measured by distance walked in six minutes (6-Minute Walk test)., Week 12","Hypertension, Pulmonary","Vasodilator, Impotence therapy, Phosphodiesterase V inhibitor",NCT00644605
